parameter,observed_index,observed_variable,factor_index,factor,value
Lambda_b,23,rate_successful_progressive_passes,1,B1,0.008506039313608035
Lambda_b,24,rate_successful_crosses,1,B1,0.010490849085585445
Lambda_b,25,per90_dribbles,1,B1,-0.16608953095181772
Lambda_b,26,per90_progressive_run,1,B1,-0.07244505461088993
Lambda_b,27,per90_accelerations,1,B1,-0.08823998643975187
Lambda_b,28,rate_successful_dribbles,1,B1,-0.0013607377288555058
Lambda_b,29,per90_touch_in_box,1,B1,0.0835392096488215
Lambda_b,30,per90_losses,1,B1,-0.09971228983144334
Lambda_b,31,per90_own_half_losses,1,B1,0.13679155211647948
Lambda_b,32,per90_dangerous_own_half_losses,1,B1,0.20580882470360087
Lambda_b,33,per90_recoveries,1,B1,-0.12215367862515741
Lambda_b,34,per90_opponent_half_recoveries,1,B1,0.059234014834422456
Lambda_b,35,per90_dangerous_opponent_half_recoveries,1,B1,-0.09064150926307726
Lambda_b,36,per90_interceptions,1,B1,0.08608854721542857
Lambda_b,37,per90_clearances,1,B1,0.08154514916025392
Lambda_b,38,per90_shots_blocked,1,B1,0.18081302707856883
Lambda_b,39,per90_defensive_duels,1,B1,0.07273476837216958
Lambda_b,40,per90_offensive_duels,1,B1,-0.08896813747626271
Lambda_b,41,per90_aerial_duels,1,B1,-0.09591988254152521
Lambda_b,42,per90_pressing_duels,1,B1,0.10064529659045048
Lambda_b,43,per90_loose_ball_duels,1,B1,-0.08565393584678398
Lambda_b,44,per90_sliding_tackles,1,B1,0.19373909653138616
Lambda_b,45,per90_dribbles_against,1,B1,-0.09280806171589204
Lambda_b,46,rate_defensive_duels_won,1,B1,-0.09091248174479363
Lambda_b,47,rate_offensive_duels_won,1,B1,-0.026008685386525218
Lambda_b,48,rate_aerial_duels_won,1,B1,0.006976390568774467
Lambda_b,49,rate_dribbles_against_won,1,B1,0.010546281007765336
Lambda_b,50,rate_successful_sliding_tackles,1,B1,0.29798121955262963
Lambda_b,51,per90_fouls,1,B1,-0.05502711409586584
Lambda_b,52,per90_fouls_suffered,1,B1,0.12506900069844576
Lambda_b,53,per90_yellow_cards,1,B1,0.029848988201768133
