observed_index,observed_variable,mu,psi_a,psi_b,sigma_epsilon,Sigma_a_diag,Sigma_b_diag,Sigma_epsilon_diag
18,per90_key_passes,-0.17657959864190953,0.04678316011324959,0.018591124671227147,0.44755454019177704,0.15139185319705906,0.05299444367417799,0.20030506644627297
19,per90_through_passes,-0.13937174432673174,0.11230553892431516,0.060123036793912836,0.6032801979221404,0.14762189149168659,0.08683842107638304,0.36394699720497686
20,per90_crosses,-0.2097804548490604,0.11575413677635041,0.020908023471556274,0.5310720786219463,0.36242522862738535,0.028895302539470476,0.28203755269183467
21,per90_shot_assists,0.2572637284188038,0.09912283706227111,0.036724051576113664,0.3727725320495665,0.1502101636863447,0.03813328991887054,0.1389593606506451
22,rate_successful_passes,0.19366286346066794,0.051630839746878154,0.034477616677781736,0.5965807593194768,0.13520731688606852,0.03454996938258638,0.35590860239020355
23,rate_successful_progressive_passes,0.12221130995181947,0.11407320443213459,0.008148875506516893,0.37124657919630405,0.20147237514240718,0.00825893342105342,0.13782402256495765
24,rate_successful_crosses,0.05473670816788221,0.04393876106907414,0.05513900528249959,0.580991642549634,0.11281197048275454,0.08272473757429441,0.33755128871252166
25,per90_dribbles,-0.09406492429276353,0.06168084265318099,0.013439606653851029,0.42079228174407035,0.34729643028855467,0.018687892591425854,0.1770661443753811
26,per90_progressive_run,0.028372684314509688,0.07682019373168068,0.020649665345302635,0.37287730583921075,0.2425938264341187,0.028435960552190227,0.1390374852099083
27,per90_accelerations,-0.14558860013251637,0.09307834524728328,0.011671106091326156,0.40873510597739365,0.10884850626352201,0.011672957698492886,0.16706438685835123
28,rate_successful_dribbles,-0.09294239353320864,0.08139208859835412,0.02103960465360207,0.45897453352808953,0.16675635286068463,0.028018404202351823,0.21065762242732738
29,per90_touch_in_box,-0.06548747817129279,0.09541775829616905,0.04189798263389484,0.6409873377298937,0.11598826196969117,0.0518405233773246,0.4108647671300568
30,per90_losses,0.0038521074848578757,0.037077826491860935,0.019005516863211083,0.5225868782727048,0.09293696302855958,0.037717445593646606,0.27309704534281076
31,per90_own_half_losses,-0.21416343189353096,0.02300762168312234,0.061841557209508236,0.4956804625457153,0.1415325765283465,0.10419882953538576,0.24569912094953425
32,per90_dangerous_own_half_losses,0.2366160186125183,0.07311163924481609,0.05204245384680458,0.5375033325050026,0.1037772824439332,0.06696397504846283,0.2889098324539834
33,per90_recoveries,0.2782284790856847,0.1073638267913468,0.008303336108461231,0.4109584866790101,0.22035269989930167,0.01181200462186581,0.16888687777350211
34,per90_opponent_half_recoveries,-0.16973256251314947,0.03010934156356792,0.04837795717458178,0.44087031425442547,0.19177044866127999,0.0565938403760703,0.19436663399079587
35,per90_dangerous_opponent_half_recoveries,0.08417569141430882,0.026302615540917864,0.04726346575163927,0.5571974234189838,0.061190594297543685,0.05467470371330234,0.3104689686647543
36,per90_interceptions,-0.09448169514615119,0.11129326415198038,0.010276512637191103,0.5962989558232948,0.13546992390251633,0.016926123988759163,0.35557244471595173
37,per90_clearances,0.13204792874355223,0.11944722308453086,0.05136376432054418,0.5063372637610882,0.29665486305637506,0.08405711508185945,0.25637742467306585
38,per90_shots_blocked,-0.37332251396859356,0.09986556927711503,0.020024777541763485,0.3756499465787783,0.12013978237359112,0.025315124071916644,0.141112882364639
39,per90_defensive_duels,-0.280362809811907,0.08701984585201833,0.04385744606674988,0.42048718123696743,0.16844489125308829,0.05177277555274506,0.1768094695846103
40,per90_offensive_duels,-0.013875512559093608,0.03329138367090775,0.039678884488386384,0.6235986579209566,0.08222839486754728,0.04887950835516638,0.38887528616081823
41,per90_aerial_duels,-0.07170887094917217,0.11970813159983909,0.03915706860471155,0.4004091427195817,0.19737483434533362,0.04928654433049129,0.16032748157343035
42,per90_pressing_duels,-0.015683209580291537,0.02587137838083703,0.006641252687531912,0.4847294167149812,0.19554244040955832,0.013977849413576897,0.2349626074288459
43,per90_loose_ball_duels,0.17802215037160596,0.040961853822507666,0.012505710489129797,0.5538183305412531,0.11498430707713735,0.05004054801392756,0.3067147432435006
44,per90_sliding_tackles,-0.03269135551515441,0.022633656646428725,0.010797714051476245,0.46882937708869576,0.05351733811614003,0.019411050370937072,0.2198009848213745
45,per90_dribbles_against,-0.0884587726274674,0.08200117969033376,0.01131513860401318,0.43553028476890177,0.189503240097229,0.019580217941010614,0.18968662895088068
46,rate_defensive_duels_won,-0.15701210199134147,0.09580842571790629,0.03711644238231767,0.4295588437234983,0.160914310779103,0.03779289409785292,0.18452080022106881
47,rate_offensive_duels_won,-0.03382869192673832,0.043300466647330796,0.02679036627379418,0.5731113145593554,0.05958316376841202,0.026839036299162268,0.32845657887595237
48,rate_aerial_duels_won,-0.05418368348890152,0.05437715858661915,0.050655425683922846,0.44350934207905085,0.07996095611677043,0.050766649727017596,0.19670053651139255
49,rate_dribbles_against_won,0.25066320333094005,0.09330829357277033,0.06118017682132082,0.6007185037713498,0.1652485418097273,0.14997298402739329,0.36086272077328924
50,rate_successful_sliding_tackles,0.2258377973470894,0.058761518191666674,0.020145063476796225,0.4156484494917095,0.26219030065300336,0.02317304676251566,0.17276363356486216
51,per90_fouls,0.030984405925512645,0.09637076112102537,0.007286075416821161,0.3657285953406244,0.1625058548187242,0.022928330352528985,0.1337574054498262
52,per90_fouls_suffered,0.16262732639778182,0.06310683428827059,0.01056716515995388,0.37588496801909055,0.07913075289280455,0.011458127256623173,0.1412895091827127
53,per90_yellow_cards,0.044415328361922274,0.08931124270268893,0.033931879609228464,0.36706588265951723,0.17954466333839195,0.0354206538549389,0.13473736221261048
