feature,icc_player,icc_season,icc_residual,sigma_a_diag_mean,var_b_mean,var_e_mean,group,icc_player_q05,icc_player_q95,icc_season_q05,icc_season_q95
rate_successful_crosses,0.02548178990655,0.00388822622958272,0.97062998394,0.025589316716175,0.00391331788362878,0.9740601680575,Passing quality,0.0145847548,0.04173775899999998,2.752000405e-4,0.01046868694999998
per90_dribbles,0.7902575013825,0.101575808816,0.108166689723,0.8540402554975001,0.112297868424,0.116358982035,Progressive actions,0.712798797,0.84061343,0.0497191303,0.1850042314999998
per90_progressive_run,0.751072645795,0.044220250523,0.2047071037625,0.738719536255,0.0439397558003,0.201022814285,Progressive actions,0.7150938365,0.7769279675,0.0199868553,0.08494764794999994
per90_accelerations,0.59486795336,0.15682665424025,0.2483053923425,0.63073670261,0.17172141374525,0.262795075515,Progressive actions,0.5140307935,0.6541175545,0.0816235572,0.26887179699999997
rate_successful_dribbles,0.2257302478725,0.00786030932977,0.7664094427625,0.225368833595,0.0078643144498475,0.7645543957225,Progressive actions,0.1987358745,0.25296733749999994,0.002324671715,0.01786603519999997
per90_touch_in_box,0.8618827485475,0.00113707529754226,0.136980176245,0.7642187366225,0.00100629910925661,0.120721166105,Attacking output,0.8462215085000001,0.8773396295,2.62926521e-4,0.00266275505999999
per90_losses,0.7421040113125,0.074773546567,0.1831224422225,0.7485393782625,0.0765718936605,0.18422936502,Defending,0.6879486415,0.7794070154999999,0.03627414274999999,0.1368328534999999
per90_own_half_losses,0.67824151492,0.01810980299125,0.303648682125,0.71236784591,0.019102260732,0.3184002894925,Defending,0.653946724,0.701589316,0.007446327295,0.0371546332
per90_dangerous_own_half_losses,0.4719122866875,0.01505348457115,0.5130342288175,0.4837306986075,0.015514970005,0.52531416774,Defending,0.4446478105,0.498468659,0.00561261443,0.03158954444999996
per90_recoveries,0.88454586041,0.0116899135389,0.1037642261185,0.842698251555,0.01116716982825,0.0987226840775,Defending,0.8716687645,0.894867556,0.00499751214,0.02427066809999999
per90_opponent_half_recoveries,0.7993484905575,0.0049316662499775,0.1957198432575,0.8357151539525001,0.00514888500135999,0.20395081701,Defending,0.780089617,0.8175423295,0.001691900185,0.01067203614999999
per90_dangerous_opponent_half_recoveries,0.464839118165,0.007765519913215,0.527395362015,0.4692934877,0.0078588559495275,0.5319217974225,Defending,0.4375946645,0.49108598999999997,0.0025383816,0.01729514694999999
per90_interceptions,0.7792264322925,0.06593922944025,0.154834338345,0.7928559938475,0.06814818397575,0.15736817737,Defending,0.7290612565000001,0.811223504,0.0316612817,0.125018329
per90_clearances,0.832678054575,0.0307945958938,0.136527349605,0.8313000409525,0.030938393342125,0.135937596295,Defending,0.802375992,0.8543555085,0.01330363675,0.06256472929999997
per90_shots_blocked,0.6499706456175,0.0157361120462,0.33429324232,0.65775227731,0.01598044092265,0.337710576245,Defending,0.62460549,0.674471497,0.00624438343,0.03225397184999999
per90_defensive_duels,0.793463637175,0.07434368356375,0.132192679203,0.8848301040475,0.0844806134935,0.1470417184975,Dueling,0.7335416294999999,0.8314160744999999,0.03435960555,0.14291464349999988
per90_offensive_duels,0.8611977873525,0.0553286714925,0.083473541102,0.875265753595,0.05677934435775,0.08422924735575,Dueling,0.810485786,0.894182019,0.02522543165,0.10744501299999996
per90_aerial_duels,0.8128067857675,0.06060779824974999,0.126585415949,0.89015707213,0.0673109044845,0.138474482845,Dueling,0.766227109,0.8428144865,0.028787548,0.11315395699999996
per90_pressing_duels,0.4503353877025,0.31406081010575,0.23560380218075,0.43247391036,0.319057611475,0.225829250515,Dueling,0.3423429665,0.5365348685,0.190528383,0.472886183
per90_loose_ball_duels,0.7110545236225,0.1176188704585,0.17132660592525,0.7380319418275,0.125393369171,0.17755527925,Dueling,0.6363816765,0.7623908435,0.05851014515,0.207821353
per90_sliding_tackles,0.608747107755,0.11635668203575,0.2748962102425,0.656458376675,0.12939309120125,0.2961166857125,Defending,0.5405569325,0.6561208949999999,0.05614642114999999,0.21216066649999987
per90_dribbles_against,0.7077268309475,0.123378392112,0.1688947769275,0.7803308605825,0.13981728261375,0.1858227567625,Defending,0.6273394305,0.7617386815000001,0.06213566055,0.220116935
rate_defensive_duels_won,0.215841904665,0.128207253196,0.65595084228,0.2223235132875,0.13587420638875,0.6751600341775,Defending,0.18314444549999995,0.248115027,0.06657901225,0.22721819799999993
rate_offensive_duels_won,0.402130399495,0.012914099066325,0.5849555013325,0.4005816029375,0.012923092554325,0.581988855745,Dueling,0.3733495265,0.4305070375,0.00474181245,0.02747694539999998
rate_aerial_duels_won,0.7624782962,0.004161673968825,0.2333600298275,0.757235042225,0.004126231295955,0.2310628137825,Dueling,0.7415518664999999,0.7828408014999999,0.00140759596,0.00921031280999999
rate_dribbles_against_won,0.14500133305325,0.00613536667797845,0.8488633003125,0.14409839362425,0.0061080930499455,0.84263190343,Defending,0.1158953485,0.17467030949999995,0.001464367265,0.01468945044999999
rate_successful_sliding_tackles,0.047350024505225,0.0118171094185075,0.940832866065,0.0476423530052,0.0119420667007625,0.9461312430875,Defending,0.02658407094999999,0.06908197219999998,0.003678557015,0.02647085009999999
per90_fouls,0.726702260765,0.026505422750225,0.246792316525,0.7646633430125,0.02809605199655,0.25936975447,Discipline,0.7008864365,0.7464160745,0.01113781415,0.05379033134999998
per90_fouls_suffered,0.7727022109975,0.01968773542505,0.2076100534875,0.790551999675,0.0202331381482,0.2119039174175,Discipline,0.749573792,0.7930168775,0.008316499645,0.03982222179999999
per90_yellow_cards,0.4406751302025,0.01649114286155,0.5428337269275,0.454237855915,0.01710812327947499,0.55895163895,Discipline,0.4124526245,0.46865514499999994,0.006112239915,0.03500071289999998
