feature,factor,loading,q5,q95,group,abs_loading
per90_dribbles_against,PCA_Factor_1,-0.1792888667312578,-0.19773002559058028,-0.161317137593195,Defending,0.1792888667312578
rate_defensive_duels_won,PCA_Factor_1,-0.3438581278613416,-0.3609073095246464,-0.3266638153906468,Defending,0.3438581278613416
rate_offensive_duels_won,PCA_Factor_1,0.056019996038221755,0.030924799533088854,0.08138683910865953,Dueling,0.056019996038221755
rate_aerial_duels_won,PCA_Factor_1,-0.1357081000186026,-0.1543551173831263,-0.11745144367413314,Dueling,0.1357081000186026
rate_dribbles_against_won,PCA_Factor_1,-0.07484421871802134,-0.09359501849449225,-0.05526287952820416,Defending,0.07484421871802134
rate_successful_sliding_tackles,PCA_Factor_1,-0.09282349278987985,-0.11834612457965289,-0.06725388531225622,Defending,0.09282349278987985
per90_fouls,PCA_Factor_1,-0.34843877626809894,-0.3793223614494972,-0.3154138918351337,Discipline,0.34843877626809894
per90_fouls_suffered,PCA_Factor_1,0.19976830653201577,0.1782364925320305,0.221841078992597,Discipline,0.19976830653201577
per90_yellow_cards,PCA_Factor_1,0.1426998118268565,0.1254234629084248,0.15829924660763195,Discipline,0.1426998118268565
per90_goals,PCA_Factor_2,0.21919767694991976,-0.019332307007551886,0.46918168973446395,Attacking output,0.21919767694991976
per90_assists,PCA_Factor_2,0.11733570786341477,0.07766743939938235,0.15631317807546435,Attacking output,0.11733570786341477
per90_xg_shot,PCA_Factor_2,-0.14828060201780893,-0.16880475485344057,-0.12804021728379408,Attacking output,0.14828060201780893
per90_xg_assist,PCA_Factor_2,0.13813630413441727,0.11254547695112703,0.1623392323101304,Attacking output,0.13813630413441727
per90_shots,PCA_Factor_2,-0.16531948030033705,-0.19149415654692545,-0.1395448586451712,Attacking output,0.16531948030033705
per90_head_shots,PCA_Factor_2,0.21853878256747053,0.19618410207213272,0.24166532166054416,Attacking output,0.21853878256747053
rate_shots_on_target,PCA_Factor_2,0.13616103296585388,0.11689064370059857,0.15554708038482037,Shooting rates,0.13616103296585388
rate_goal_conversion,PCA_Factor_2,-0.06898662147476045,-0.08902625539472649,-0.049940784906700925,Shooting rates,0.06898662147476045
per90_received_pass,PCA_Factor_2,-0.14753409318631025,-0.16696578242725413,-0.12880401284251045,Passing volume,0.14753409318631025
per90_passes,PCA_Factor_2,-0.01780893621972882,-0.03618737505599838,6.596687424201305e-5,Passing volume,0.01780893621972882
per90_forward_passes,PCA_Factor_2,0.03423541124139497,0.01959558236929608,0.04902359638772541,Passing volume,0.03423541124139497
per90_back_passes,PCA_Factor_2,-0.16250709067440114,-0.1832623953168308,-0.1429066761950612,Passing volume,0.16250709067440114
per90_lateral_passes,PCA_Factor_2,-0.2103550715523331,-0.23269707077628862,-0.18760421752192113,Passing volume,0.2103550715523331
per90_long_passes,PCA_Factor_2,-0.31377468743735126,-0.33691080751099167,-0.29055071994215226,Passing volume,0.31377468743735126
per90_smart_passes,PCA_Factor_2,0.0432376301727131,0.019806849189555515,0.06677704409453443,Passing volume,0.0432376301727131
per90_progressive_passes,PCA_Factor_2,0.16892645618460814,0.14887456376591787,0.18961763905480852,Passing volume,0.16892645618460814
per90_passes_to_final_third,PCA_Factor_2,0.16946915738319343,0.15435840413210208,0.18567883180839095,Passing volume,0.16946915738319343
per90_key_passes,PCA_Factor_2,-0.18125324758794967,-0.20450941753237667,-0.15917654782613855,Passing volume,0.18125324758794967
per90_through_passes,PCA_Factor_2,-0.2051550381344225,-0.22595000247926234,-0.18604789378303163,Passing volume,0.2051550381344225
per90_crosses,PCA_Factor_2,-0.15215137399043563,-0.16804213726522202,-0.1353441172483367,Passing volume,0.15215137399043563
per90_shot_assists,PCA_Factor_2,0.48839922767334487,0.46268456364969124,0.5144625821874838,Passing volume,0.48839922767334487
rate_successful_passes,PCA_Factor_2,0.18919618185083953,0.1663900350939841,0.21230664322846804,Passing quality,0.18919618185083953
rate_successful_progressive_passes,PCA_Factor_2,0.054421305165323834,0.031526498928760145,0.07721655013815326,Passing quality,0.054421305165323834
rate_successful_crosses,PCA_Factor_2,0.16316488925397815,0.14098983299718704,0.1861751269617562,Passing quality,0.16316488925397815
per90_dribbles,PCA_Factor_2,0.18064771080922815,0.15919247483598867,0.20125140620427268,Progressive actions,0.18064771080922815
per90_progressive_run,PCA_Factor_2,0.19591263313517593,0.16895983613805346,0.22582870610184658,Progressive actions,0.19591263313517593
per90_accelerations,PCA_Factor_2,-0.034707700874213966,-0.05978922156702062,-0.011106557482608179,Progressive actions,0.034707700874213966
rate_successful_dribbles,PCA_Factor_2,0.06523186702112818,0.04711698831253674,0.08358965436659517,Progressive actions,0.06523186702112818
per90_touch_in_box,PCA_Factor_2,-0.02234497133545346,-0.04242655262008817,-0.002183654418753871,Attacking output,0.02234497133545346
per90_losses,PCA_Factor_2,-0.14087260115411243,-0.159579332677764,-0.12275362503459156,Defending,0.14087260115411243
per90_own_half_losses,PCA_Factor_2,-0.008868050469110517,-0.03418514215291155,0.015242814953445628,Defending,0.008868050469110517
per90_dangerous_own_half_losses,PCA_Factor_2,0.013290595766511142,-0.009584219732030497,0.03415574419043806,Defending,0.013290595766511142
per90_recoveries,PCA_Factor_2,-0.06995590004889006,-0.08716638019058945,-0.05390745191344434,Defending,0.06995590004889006
per90_opponent_half_recoveries,PCA_Factor_2,-0.33081472724113564,-0.35358797516470974,-0.309416253604239,Defending,0.33081472724113564
per90_dangerous_opponent_half_recoveries,PCA_Factor_2,-0.29455251954072836,-0.3176831396751455,-0.2713789900272771,Defending,0.29455251954072836
per90_interceptions,PCA_Factor_2,-0.15649911005756303,-0.17264445824628338,-0.140554839266627,Defending,0.15649911005756303
per90_clearances,PCA_Factor_2,-0.17286899079601067,-0.1898464525792162,-0.15532012321604097,Defending,0.17286899079601067
per90_shots_blocked,PCA_Factor_2,0.2984873652678421,0.2716957632795997,0.32539135065096275,Defending,0.2984873652678421
per90_defensive_duels,PCA_Factor_2,-0.0651224908194906,-0.08710733821041111,-0.04374610314426836,Dueling,0.0651224908194906
per90_offensive_duels,PCA_Factor_2,0.2523932742502446,0.23232616890391747,0.27438588544922227,Dueling,0.2523932742502446
per90_aerial_duels,PCA_Factor_2,0.008059380379874843,-0.01115220461954758,0.02747706314056779,Dueling,0.008059380379874843
per90_pressing_duels,PCA_Factor_2,-0.2623539644053172,-0.28366771973932364,-0.2417916459101837,Dueling,0.2623539644053172
per90_loose_ball_duels,PCA_Factor_2,-0.047808429233802956,-0.07411056004052204,-0.023049098621250527,Dueling,0.047808429233802956
per90_sliding_tackles,PCA_Factor_2,-0.28058147102043096,-0.29723777418355435,-0.2643457065530053,Defending,0.28058147102043096
per90_dribbles_against,PCA_Factor_2,-0.04230985571963432,-0.062221760893379476,-0.021410991495432588,Defending,0.04230985571963432
rate_defensive_duels_won,PCA_Factor_2,-0.041669097472261496,-0.060921179181865355,-0.020948012305894548,Defending,0.041669097472261496
rate_offensive_duels_won,PCA_Factor_2,-0.24457225990756323,-0.26451270251032255,-0.22456778757726636,Dueling,0.24457225990756323
rate_aerial_duels_won,PCA_Factor_2,0.0368483998446526,0.017721734224149074,0.056752380768203305,Dueling,0.0368483998446526
rate_dribbles_against_won,PCA_Factor_2,-0.10627065134479957,-0.12499948234298416,-0.08732673917347403,Defending,0.10627065134479957
rate_successful_sliding_tackles,PCA_Factor_2,-0.25254727411545597,-0.2708704865113621,-0.23430141834698073,Defending,0.25254727411545597
per90_fouls,PCA_Factor_2,0.3048037254817088,0.27959638878058446,0.33332748041668714,Discipline,0.3048037254817088
per90_fouls_suffered,PCA_Factor_2,0.19218513061920564,0.1734664837990953,0.212925377585035,Discipline,0.19218513061920564
per90_yellow_cards,PCA_Factor_2,-0.017553478892190957,-0.03624966143378394,4.6853049143047866e-4,Discipline,0.017553478892190957
